CODGEO	REG	DEP	ARR	CV	ZE1990	EPCI	LIBGEO	PSDC99	PSDC90	SUPERF	NAIS9099	DEC9099	MENP99	LOG99	RS99	RNETFF06	NBFF06	NBFFI06	MEDRFUC06	EMPTOT99	EMPSA99	EMPTOT90	DEFMT07	ETTOT06	ETIND06	ETCOS06	ETCOM06	ETSER06	ETTEF106	ETTEFP1006
69273	82	69	691	6949	8211	246900245	Corbas	9259	8101	11.88	1070	319	3115	3205	22	119815026	4776	3258	19615	6054	5715	5468	184	619	81	42	154	342	230	152
69275	82	69	691	6944	8211	246900245	Décines-Charpieu	24193	24564	17.01	3202	1506	8939	9453	125	274670373	14085	7791	16813	9763	8762	9268	740	1606	222	181	454	749	631	207
69276	82	69	691	6949	8211	246900245	Feyzin	8469	8520	9.64	1044	435	2866	3078	34	97859055	4783	2742	16722	5230	4919	5320	277	445	56	68	97	224	163	68
69277	82	69	691	6944	8211	246900575	Genas	11140	9316	23.84	1037	389	3664	3779	29	176652548	5445	4058	22742	6294	5829	4848	196	832	121	85	196	430	306	154
69278	82	69	691	6925	8211	246900245	Genay	4657	4029	8.49	534	191	1641	1735	26	65611708	2522	1655	19812	3084	2882	2016	93	333	52	64	76	141	139	46
69279	82	69	691	6937	8211	246900245	Jonage	5363	5076	12.11	517	197	1672	1746	37	76077394	2729	1872	20286	567	427	508	120	228	27	45	38	118	90	11
69280	82	69	691	6937	8211	246900575	Jons	1094	1001	7.41	102	87	364	386	15	15898065	617	390	19973	190	138	160	28	79	12	11	15	41	27	9
69281	82	69	691	6938	8211	ZZZZZZZZZ	Marennes	1483	1205	12.44	138	56	491	510	10	23892701	807	545	21877	189	113	164	25	94	10	21	16	47	32	12
69282	82	69	691	6937	8211	246900245	Meyzieu	28009	28077	23.01	3109	1400	9544	10020	132	345152574	14525	8728	17820	9473	8685	8732	802	1321	174	189	301	657	480	148
69283	82	69	691	6938	8211	246900245	Mions	10283	9145	11.57	1052	348	3349	3441	25	138220139	5518	3674	19551	2754	2429	1976	266	567	69	101	126	271	204	89
69284	82	69	691	6925	8211	246900245	Montanay	2335	1835	7.16	180	88	763	782	12	55567500	1147	877	24647	540	471	176	37	114	15	16	16	67	39	14
69285	82	69	691	6937	8211	246900575	Pusignan	3098	2720	13.04	314	130	1048	1095	23	47424974	1727	1151	19389	1175	1020	720	78	307	65	58	58	126	124	41
69286	82	69	691	6939	8211	246900245	Rillieux-la-Pape	28367	30791	14.48	4331	1478	10654	11307	72	302648466	15123	7620	14853	9603	8925	10356	1118	1304	86	167	297	754	452	157
69287	82	69	691	6937	8211	246900575	Saint-Bonnet-de-Mure	5597	4604	16.34	527	411	1853	1932	22	87702526	2922	2082	21468	2266	2061	1860	117	390	41	51	118	180	166	56
69288	82	69	691	6937	8211	246900575	Saint-Laurent-de-Mure	4694	4513	18.63	420	189	1648	1715	30	65361725	2528	1731	20217	1389	1197	1068	83	319	49	42	61	167	115	45
69289	82	69	691	6938	8211	ZZZZZZZZZ	Saint-Pierre-de-Chandieu	4133	3523	29.28	437	170	1394	1458	31	62446499	2145	1491	21087	1191	1035	624	71	300	43	43	52	162	108	46
69290	82	69	691	6945	8211	246900245	Saint-Priest	40974	41876	29.71	5860	1845	14829	15647	117	433805512	22141	12061	15860	20990	19757	20436	1425	2399	246	260	692	1201	883	431
69291	82	69	691	6938	8211	246900765	Saint-Symphorien-d'Ozon	5063	5167	13.37	549	390	1849	1953	23	66022558	2775	1815	20180	2287	1964	2252	88	365	48	49	74	194	143	45
69292	82	69	691	6939	8211	246900245	Sathonay-Camp	4336	4673	1.96	657	231	1775	1862	18	51018625	2458	1457	18337	666	541	796	105	170	8	21	26	115	69	11
69293	82	69	691	6939	8211	246900245	Sathonay-Village	1693	1401	5.15	128	69	545	560	3	29646060	792	606	25221	217	167	176	28	58	1	9	15	33	14	4
69294	82	69	691	6938	8211	246900765	Sérézin-du-Rhône	2388	2257	3.97	330	83	882	919	11	33750100	1283	903	20665	748	667	656	36	128	16	15	34	63	45	16
69295	82	69	691	6938	8211	246900765	Simandres	1258	1044	10.45	111	50	419	435	7	22118285	726	511	20519	205	145	152	16	55	1	21	10	23	20	2
69296	82	69	691	6949	8211	246900245	Solaize	2256	2008	8.1	226	96	791	817	13	44013345	1316	971	22209	1545	1429	1088	32	134	11	16	27	80	42	18
69297	82	69	691	6938	8211	246900765	Ternay	4618	4085	8.06	413	182	1604	1689	37	69744216	2504	1687	20198	751	650	582	83	210	22	36	44	108	72	19
69298	82	69	691	6938	8211	ZZZZZZZZZ	Toussieu	2019	1651	5.02	182	81	695	727	11	37833681	1118	798	21590	511	442	208	47	135	19	16	28	72	48	21
69299	82	69	691	6937	8211	246900575	Colombier-Saugnieu	2083	1833	27.62	187	90	685	734	22	27530217	1162	779	19684	3847	3655	2480	56	290	16	22	39	213	122	74
