CODGEO	REG	DEP	ARR	CV	ZE1990	EPCI	LIBGEO	PSDC99	PSDC90	SUPERF	NAIS9099	DEC9099	MENP99	LOG99	RS99	RNETFF06	NBFF06	NBFFI06	MEDRFUC06	EMPTOT99	EMPSA99	EMPTOT90	DEFMT07	ETTOT06	ETIND06	ETCOS06	ETCOM06	ETSER06	ETTEF106	ETTEFP1006
69155	82	69	691	6928	8211	246900773	Pomeys	824	842	13.1	79	42	284	312	19	11595185	456	257	17560	140	80	216	12	37	3	8	5	21	10	3
69156	82	69	692	6902	8202	246900658	Pommiers	1804	1619	7.76	164	130	646	733	48	57789668	1002	719	22843	228	156	212	29	79	6	13	8	52	22	5
69157	82	69	692	6929	8211	246900708	Pontcharra-sur-Turdine	2136	2086	4.73	220	155	824	915	30	28387883	1310	793	17441	901	765	744	49	153	30	23	32	68	63	18
69158	82	69	692	6930	8201	246900583	Pont-Trambouze	548	548	4.06	61	67	226	294	41	4842646	304	150	14338	396	380	300	12	32	8	4	5	15	12	4
69159	82	69	692	6902	8202	246900658	Pouilly-le-Monial	721	654	3.81	81	31	258	298	26	11195139	406	283	20906	57	29	92	17	30	4	7	2	17	9	1
69160	82	69	692	6909	8202	246900617	Poule-les-Écharmeaux	834	838	31.23	74	99	349	601	204	12095152	549	250	15573	269	181	208	19	69	18	12	11	28	36	1
69161	82	69	692	6923	8202	246900682	Propières	419	404	16	23	48	178	288	96	4329529	271	118	14026	147	95	136	12	36	8	5	8	15	11	6
69162	82	69	692	6904	8202	246900781	Quincié-en-Beaujolais	1121	1059	22.05	127	79	457	567	86	12363252	596	304	14861	449	261	364	20	89	6	18	21	44	39	4
69163	82	69	691	6925	8211	246900609	Quincieux	2657	2300	17.72	277	140	899	960	34	35189663	1396	912	18876	978	877	1096	43	154	23	34	21	76	50	11
69164	82	69	692	6909	8202	246900583	Ranchal	267	218	15.14	18	34	123	251	104	2927000	169	75	15116	28	12	44	12	17	0	4	3	10	6	0
69165	82	69	692	6904	8202	246900781	Régnié-Durette	905	910	11.72	124	56	341	430	49	10919107	454	240	15948	276	124	292	21	45	5	7	7	26	17	3
69166	82	69	691	6924	8211	246900740	Riverie	267	208	0.42	48	20	92	135	35	3347893	134	87	20241	56	48	28		17	0	1	0	16	6	1
69167	82	69	692	6953	8202	246900807	Rivolet	488	369	16.3	58	25	178	194	12	5503613	246	138	16379	124	48	84	14	26	2	7	5	12	11	0
69168	82	69	691	6925	8211	246900245	Rochetaillée-sur-Saône	1134	903	1.29	119	71	386	416	11	22178867	645	425	20958	194	182	188	46	56	1	10	14	31	21	3
69169	82	69	692	6901	8201	246900583	Ronno	596	544	22.92	93	40	214	290	69	6558337	300	162	17380	96	56	80	16	19	2	3	2	12	4	2
69170	82	69	691	6924	8211	246900740	Rontalon	896	717	12.67	140	36	331	375	31	11189204	547	300	16877	168	72	184	23	31	4	8	6	13	9	2
69171	82	69	691	6903	8211	246900625	Sain-Bel	1919	1892	3.68	208	117	768	828	18	26430731	1173	756	18951	518	465	632	60	132	13	16	27	76	49	12
